report_month,plant_name,item_name,month_actual
September 2025,ASP,Saleable Steel,11.782
October 2025,ASP,Saleable Steel,10.764
November 2025,ASP,Saleable Steel,9.33
December 2025,ASP,Saleable Steel,7.264
January 2026,ASP,Saleable Steel,9.133
February 2026,ASP,Saleable Steel,9.148
March 2026,ASP,Saleable Steel,10.744
April 2025,SSP,Saleable Steel,17.835
May 2025,SSP,Saleable Steel,18.586
June 2025,SSP,Saleable Steel,15.447
July 2025,SSP,Saleable Steel,16.593
August 2025,SSP,Saleable Steel,20.628
September 2025,SSP,Saleable Steel,12.52
October 2025,SSP,Saleable Steel,13.287
November 2025,SSP,Saleable Steel,13.355
December 2025,SSP,Saleable Steel,11.713
January 2026,SSP,Saleable Steel,15.075
February 2026,SSP,Saleable Steel,10.969
March 2026,SSP,Saleable Steel,11.534
April 2025,VISL,Saleable Steel,2.257
May 2025,VISL,Saleable Steel,3.2867899999999994
June 2025,VISL,Saleable Steel,2.50023
July 2025,VISL,Saleable Steel,2.13926
August 2025,VISL,Saleable Steel,2.99959
September 2025,VISL,Saleable Steel,2.9526
October 2025,VISL,Saleable Steel,2.56436
November 2025,VISL,Saleable Steel,2.482
December 2025,VISL,Saleable Steel,2.48328
January 2026,VISL,Saleable Steel,2.416
February 2026,VISL,Saleable Steel,2.5299050000000003
March 2026,VISL,Saleable Steel,5.365
April 2025,VISL,Pig Iron,29.645726838
May 2025,VISL,Pig Iron,49.105968478
June 2025,VISL,Pig Iron,32.677457772000004
July 2025,VISL,Pig Iron,10.724
August 2025,VISL,Pig Iron,25.899408404
September 2025,VISL,Pig Iron,30.783810796
October 2025,VISL,Pig Iron,35.609268639999996
November 2025,VISL,Pig Iron,23.363216226
December 2025,VISL,Pig Iron,13.996725159999999
January 2026,VISL,Pig Iron,18.324507267999998
February 2026,VISL,Pig Iron,15.906080000000001
March 2026,VISL,Pig Iron,14.751634348
April 2025,VISL,Finished Steel,1255.0074120000002
May 2025,VISL,Finished Steel,1345.0616190000003
June 2025,VISL,Finished Steel,1367.628328
July 2025,VISL,Finished Steel,1374.192137
August 2025,VISL,Finished Steel,1400.534028
September 2025,VISL,Finished Steel,1353.3891710000003
October 2025,VISL,Finished Steel,1374.366132
November 2025,VISL,Finished Steel,1322.0170590000002
December 2025,VISL,Finished Steel,1403.04228
January 2026,VISL,Finished Steel,1462.6350000000002
February 2026,VISL,Finished Steel,1357.2723230000001
March 2026,VISL,Finished Steel,1523.737996
